"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,53,"COL","Colombia",1,"Amazonas","Comisaría","Commissiary",NA,NA
2,53,"COL","Colombia",2,"Antioquia","Departamento","Department",NA,NA
3,53,"COL","Colombia",3,"Arauca","Intendencia","Intendancy",NA,NA
4,53,"COL","Colombia",4,"Atlántico","Departamento","Department",NA,NA
5,53,"COL","Colombia",5,"Bolívar","Departamento","Department",NA,NA
6,53,"COL","Colombia",6,"Boyacá","Departamento","Department",NA,NA
7,53,"COL","Colombia",7,"Córdoba","Departamento","Department",NA,NA
8,53,"COL","Colombia",8,"Caldas","Departamento","Department",NA,NA
9,53,"COL","Colombia",9,"Caquetá","Intendencia","Intendancy",NA,NA
10,53,"COL","Colombia",10,"Casanare","Intendencia","Intendancy",NA,NA
11,53,"COL","Colombia",11,"Cauca","Departamento","Department",NA,NA
12,53,"COL","Colombia",12,"Cesar","Departamento","Department",NA,"El Cesar"
13,53,"COL","Colombia",13,"Chocó","Departamento","Department",NA,NA
14,53,"COL","Colombia",14,"Cundinamarca","Departamento","Department",NA,NA
15,53,"COL","Colombia",15,"Guainía","Comisaría","Commissiary",NA,"Guania"
16,53,"COL","Colombia",16,"Guaviare","Comisaría","Commissiary",NA,NA
17,53,"COL","Colombia",17,"Huila","Departamento","Department",NA,NA
18,53,"COL","Colombia",18,"La Guajira","Departamento","Department",NA,"Guajira|Goagira|La Goajira"
19,53,"COL","Colombia",19,"Magdalena","Departamento","Department",NA,"La Magdalena"
20,53,"COL","Colombia",20,"Meta","Departamento","Department",NA,NA
21,53,"COL","Colombia",21,"Nariño","Departamento","Department",NA,NA
22,53,"COL","Colombia",22,"Norte de Santander","Departamento","Department",NA,"Santander del Norte"
23,53,"COL","Colombia",23,"Putumayo","Intendencia","Intendancy",NA,NA
24,53,"COL","Colombia",24,"Quindío","Departamento","Department",NA,NA
25,53,"COL","Colombia",25,"Risaralda","Departamento","Department",NA,NA
26,53,"COL","Colombia",26,"San Andrés y Providencia","Departamento","Department",NA,"Saint Andrew and Providence"
27,53,"COL","Colombia",27,"Santander","Departamento","Department",NA,NA
28,53,"COL","Colombia",28,"Sucre","Departamento","Department",NA,NA
29,53,"COL","Colombia",29,"Tolima","Departamento","Department",NA,NA
30,53,"COL","Colombia",30,"Valle del Cauca","Departamento","Department",NA,"Valle"
31,53,"COL","Colombia",31,"Vaupés","Comisaría","Commissiary",NA,NA
32,53,"COL","Colombia",32,"Vichada","Comisaría","Commissiary",NA,NA
