"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,53,"COL","Colombia",1,"Amazonas",1,"El Encanto","Corregimiento Departamento","Corregimiento Departamento",NA,NA
2,53,"COL","Colombia",1,"Amazonas",2,"La Chorrera","Corregimiento Departamento","Corregimiento Departamento",NA,NA
3,53,"COL","Colombia",1,"Amazonas",3,"La Pedrera","Corregimiento Departamento","Corregimiento Departamento",NA,NA
4,53,"COL","Colombia",1,"Amazonas",4,"Leticia","Municipio","Municipality",NA,NA
5,53,"COL","Colombia",1,"Amazonas",5,"Mirití-Paraná","Corregimiento Departamento","Corregimiento Departamento",NA,"Miriti Parana"
6,53,"COL","Colombia",1,"Amazonas",6,"Puerto Nariño","Municipio","Municipality",NA,NA
7,53,"COL","Colombia",1,"Amazonas",7,"Puerto Santander","Corregimiento Departamento","Corregimiento Departamento",NA,NA
8,53,"COL","Colombia",1,"Amazonas",8,"Tarapacá","Corregimiento Departamento","Corregimiento Departamento",NA,NA
9,53,"COL","Colombia",2,"Antioquia",9,"Abejorral","Municipio","Municipality",NA,NA
10,53,"COL","Colombia",2,"Antioquia",10,"Abriaquí","Municipio","Municipality",NA,NA
11,53,"COL","Colombia",2,"Antioquia",11,"Alejandría","Municipio","Municipality",NA,NA
12,53,"COL","Colombia",2,"Antioquia",12,"Amagá","Municipio","Municipality",NA,NA
13,53,"COL","Colombia",2,"Antioquia",13,"Amalfi","Municipio","Municipality",NA,NA
14,53,"COL","Colombia",2,"Antioquia",14,"Andes","Municipio","Municipality",NA,NA
15,53,"COL","Colombia",2,"Antioquia",15,"Angelópolis","Municipio","Municipality",NA,NA
16,53,"COL","Colombia",2,"Antioquia",16,"Angostura","Municipio","Municipality",NA,NA
17,53,"COL","Colombia",2,"Antioquia",17,"Anorí","Municipio","Municipality",NA,NA
18,53,"COL","Colombia",2,"Antioquia",18,"Anzá","Municipio","Municipality",NA,NA
19,53,"COL","Colombia",2,"Antioquia",19,"Apartadó","Municipio","Municipality",NA,NA
20,53,"COL","Colombia",2,"Antioquia",20,"Arboletes","Municipio","Municipality",NA,NA
21,53,"COL","Colombia",2,"Antioquia",21,"Argelia","Municipio","Municipality",NA,NA
22,53,"COL","Colombia",2,"Antioquia",22,"Armenia","Municipio","Municipality",NA,"Mantequilla"
23,53,"COL","Colombia",2,"Antioquia",23,"Barbosa","Municipio","Municipality",NA,NA
24,53,"COL","Colombia",2,"Antioquia",24,"Bello","Municipio","Municipality",NA,NA
25,53,"COL","Colombia",2,"Antioquia",25,"Belmira","Municipio","Municipality",NA,NA
26,53,"COL","Colombia",2,"Antioquia",26,"Betania","Municipio","Municipality",NA,NA
27,53,"COL","Colombia",2,"Antioquia",27,"Betulia","Municipio","Municipality",NA,NA
28,53,"COL","Colombia",2,"Antioquia",28,"Bolívar","Municipio","Municipality",NA,NA
29,53,"COL","Colombia",2,"Antioquia",29,"Briceño","Municipio","Municipality",NA,NA
30,53,"COL","Colombia",2,"Antioquia",30,"Buriticá","Municipio","Municipality",NA,NA
31,53,"COL","Colombia",2,"Antioquia",31,"Cáceres","Municipio","Municipality",NA,NA
32,53,"COL","Colombia",2,"Antioquia",32,"Cañasgordas","Municipio","Municipality",NA,NA
33,53,"COL","Colombia",2,"Antioquia",33,"Caicedo","Municipio","Municipality",NA,NA
34,53,"COL","Colombia",2,"Antioquia",34,"Caldas","Municipio","Municipality",NA,NA
35,53,"COL","Colombia",2,"Antioquia",35,"Campamento","Municipio","Municipality",NA,NA
36,53,"COL","Colombia",2,"Antioquia",36,"Caracolí","Municipio","Municipality",NA,NA
37,53,"COL","Colombia",2,"Antioquia",37,"Caramanta","Municipio","Municipality",NA,NA
38,53,"COL","Colombia",2,"Antioquia",38,"Carepa","Municipio","Municipality",NA,NA
39,53,"COL","Colombia",2,"Antioquia",39,"Carolina del Principe","Municipio","Municipality",NA,"Carolina"
40,53,"COL","Colombia",2,"Antioquia",40,"Caucasia","Municipio","Municipality",NA,NA
41,53,"COL","Colombia",2,"Antioquia",41,"Chigorodó","Municipio","Municipality",NA,NA
42,53,"COL","Colombia",2,"Antioquia",42,"Cisneros","Municipio","Municipality",NA,NA
43,53,"COL","Colombia",2,"Antioquia",43,"Cocorná","Municipio","Municipality",NA,NA
44,53,"COL","Colombia",2,"Antioquia",44,"Concepción","Municipio","Municipality",NA,NA
45,53,"COL","Colombia",2,"Antioquia",45,"Concordia","Municipio","Municipality",NA,NA
46,53,"COL","Colombia",2,"Antioquia",46,"Copacabana","Municipio","Municipality",NA,NA
47,53,"COL","Colombia",2,"Antioquia",47,"Dabeiba","Municipio","Municipality",NA,NA
48,53,"COL","Colombia",2,"Antioquia",48,"Don Matías","Municipio","Municipality",NA,NA
49,53,"COL","Colombia",2,"Antioquia",49,"Ebéjico","Municipio","Municipality",NA,NA
50,53,"COL","Colombia",2,"Antioquia",50,"El Bagre","Municipio","Municipality",NA,NA
51,53,"COL","Colombia",2,"Antioquia",51,"El Carmen de Viboral","Municipio","Municipality",NA,"Carmen De Vibora"
52,53,"COL","Colombia",2,"Antioquia",52,"El Santuario","Municipio","Municipality",NA,"Santuario"
53,53,"COL","Colombia",2,"Antioquia",53,"Entrerríos","Municipio","Municipality",NA,NA
54,53,"COL","Colombia",2,"Antioquia",54,"Envigado","Municipio","Municipality",NA,NA
55,53,"COL","Colombia",2,"Antioquia",55,"Fredonia","Municipio","Municipality",NA,NA
