sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,setosa
4.9,3.0,1.4,0.2;setosa,
4.7,3.2,1.3,0.2;setosa,
4.6,3.1,1.5,0.2;setosa,
5.0,3.6,1.4,0.2;setosa,
5.4,3.9,1.7,0.4;setosa,
4.6,3.4,1.4,0.3;setosa,
5.0,3.4,1.5,0.2;setosa,
4.4,2.9,1.4,0.2;setosa,
4.9,3.1,1.5,0.1;setosa,
5.4,3.7,1.5,0.2;setosa,
4.8,3.4,1.6,0.2;setosa,
4.8,3.0,1.4,0.1;setosa,
4.3,3.0,1.1,0.1;setosa,
5.8,4.0,1.2,0.2;setosa,
5.7,4.4,1.5,0.4;setosa,
5.4,3.9,1.3,0.4;setosa,
5.1,3.5,1.4,0.3;setosa,
-5.7,3.8,1.7,0.3;setosa,
5.1,3.8,1.5,0.3;setosa,
5.4,3.4,17.0,0.2;setosa,
5.1,3.7,1.5,0.4;setosa,
4.6,3.6,1.0,0.2;setosa,
5.1,3.3,1.7,0.5;setosa,
4.8,3.4,1.9,0.2;setosa,
5.0,3.0,1.6,0.2;setosa,
5.0,3.4,1.6,0.4;setosa,
5.2,3.5,1.5,0.2;setosa,
5.2,3.4,1.4,0.2;setosa,
4.7,3.2,1.6,0.2;setosa,
4.8,,1.6,0.2;setosa,
5.4,3.4,1.5,0.4;setosa,
5.2,4.1,1.5,0.1;setosa,
5.5,4.2,1.4,0.2;setosa,
4.9,3.1,1.5,0.2;setosa,
5.0,3.2,1.2,0.2;setosa,
5.5,3.5,1.3,0.2;setosa,
4.9,3.6,1.4,0.1;setosa,
4.4,3.0,1.3,0.2;setosa,
5.1,3.4,1.5,0.2;setosa,
5.0,3.5,1.3,0.3;setosa,
4.5,2.3,1.3,0.3;setosa,
4.4,3.2,1.3,0.2;setosa,
5.0,3.5,1.6,0.6;setosa,
5.1,3.8,1.9,0.4;setosa,
4.8,3.0,14.0,0.3;setosa,
5.1,3.8,1.6,0.2;setosa,
4.6,3.2,14.0,0.2;setosa,
5.7,2.5,5.0,2.0;setosa,
5.8,2.8,5.1,2.4;setosa,
6.4,3.2,5.3,1.9;setosa,
6.5,3.0,5.5,1.8;setosa,
7.7,,6.7,2.2;setosa,
-7.7,2.6,6.9,2.3;setosa,
6.0,2.2,5.0,1.5;setosa,
6.9,3.2,5.7,2.3;setosa,
5.6,2.8,4.9,2.0;setosa,
7.7,2.8,6.7,2.0;setosa,
6.3,2.7,4.9,1.8;setosa,
6.7,3.3,5.7,2.1;setosa,
7.2,3.2,6.0,1.8;setosa,
6.2,2.8,4.8,1.8;setosa,
6.1,3.0,4.9,1.8;setosa,
6.4,2.8,5.6,2.1;setosa,
7.2,3.0,5.8,1.6;setosa,
7.4,2.8,6.1,1.9;setosa,
7.9,3.8,6.4,error;setosa,
6.4,2.8,5.6,2.2;setosa,
6.3,2.8,5.1,1.5;setosa,
6.1,2.6,5.6,1.4;setosa,
7.7,3.0,6.1,2.3;setosa,
6.3,3.4,5.6,2.4;setosa,
6.4,3.1,5.5,1.8;setosa,
6.0,3.0,4.8,1.8;setosa,
6.9,3.1,5.4,2.1;setosa,
6.7,3.1,5.6,2.4;setosa,
6.9,3.1,5.1,2.3;setosa,
5.8,2.7,5.1,1.9;setosa,
6.8,3.2,5.9,2.3;setosa,
6.7,3.3,5.7,2.5;setosa,
6.7,3.0,5.2,2.3;setosa,
6.3,2.5,5.0,1.9;setosa,
6.5,3.0,5.2,2.0;setosa,
6.2,3.4,5.4,2.3;setosa,
5.9,3.0,51.0,1.8;setosa,
