S1;S2;S3;S4;S5;Timestamp
18;35;165;137;5;2017-03-01T23:20:00+03:00
195;42;30;117;37;2017-03-02T04:00:00+03:00
193;98;5;134;94;2017-03-23T06:25:00+03:00
190;17;196;130;180;2017-03-23T19:35:00+03:00
253;53;64;16;5;2017-04-04T15:10:00+03:00
254;0;99;122;19;2017-04-04T23:50:00+03:00
248;72;105;111;127;2017-04-05T04:55:00+03:00
242;12;18;62;173;2017-04-05T16:25:00+03:00
227;63;115;152;34;2017-04-07T16:20:00+03:00
235;153;168;186;42;2017-04-07T23:50:00+03:00
2667198563;177;151;78;17;2017-04-08T19:35:00+03:00
19;195;181;56;29;2017-03-24T06:55:00+03:00
258;28;42;197;79;2017-03-29T21:00:00+03:00
266;72;28;166;158;2017-04-01T00:30:00+03:00
216;108;35;109;198;2017-04-03T06:40:00+03:00
207;105;167;132;192;2017-02-24T16:30:00+03:00
21;119;154;2;7;2017-02-26T15:05:00+03:00
2136941910;64;19;121;32;2017-02-26T22:00:00+03:00
245;66;41;50;70;2017-04-10T03:20:00+03:00
216;130;94;111;105;2017-05-03T15:35:00+03:00
239;132;151;122;100;2017-05-04T23:05:00+03:00
257;59;158;69;12;2017-05-05T21:15:00+03:00
265;147;50;171;127;2017-05-06T03:45:00+03:00
268;4;86;191;37;2017-05-07T21:55:00+03:00
253;92;123;85;25;2017-05-08T06:50:00+03:00
241;142;76;193;15;2017-05-09T00:00:00+03:00
220;173;110;172;56;2017-05-20T06:20:00+03:00
248;111;164;169;73;2017-05-20T20:20:00+03:00
219;188;101;42;179;2017-05-21T05:40:00+03:00
246;142;54;45;12;2017-05-22T06:30:00+03:00
280;25;24;59;149;2017-05-22T15:30:00+03:00
283;34;22;32;115;2017-05-22T16:35:00+03:00
260;195;70;162;184;2017-05-23T09:10:00+03:00
295;48;97;139;64;2017-05-25T00:50:00+03:00
271;39;90;152;96;2017-05-25T06:40:00+03:00
304;187;123;155;71;2017-05-27T01:05:00+03:00
320;33;124;194;146;2017-05-27T21:05:00+03:00
259;1;151;73;23;2017-05-29T08:20:00+03:00
20;15;71;100;189;2017-04-28T16:35:00+03:00
204;7;145;14;7;2017-04-29T00:05:00+03:00
219;43;41;27;19;2017-04-30T07:45:00+03:00
215;7;154;160;59;2017-04-30T23:55:00+03:00
207;22;179;37;114;2017-05-01T05:35:00+03:00
221;131;68;94;169;2017-05-09T12:55:00+03:00
222;59;125;52;61;2017-05-10T05:55:00+03:00
219;130;23;89;73;2017-05-10T10:15:00+03:00
272;143;0;132;182;2017-05-11T08:05:00+03:00
270;120;140;46;133;2017-05-14T15:40:00+03:00
276;18;104;4;78;2017-05-15T20:30:00+03:00
291;51;152;41;9;2017-05-16T19:10:00+03:00
29;152;145;178;46;2017-05-17T00:25:00+03:00
229;136;18;18;174;2017-05-19T02:45:00+03:00
261;17;116;88;52;2017-05-12T03:20:00+03:00
256;40;47;142;62;2017-05-13T00:00:00+03:00
254;25;170;165;128;2017-05-13T03:55:00+03:00
259;54;23;15;164;2017-05-13T09:45:00+03:00
247;182;134;175;43;2017-05-14T06:35:00+03:00
313;158;128;5;58;2017-06-16T17:40:00+03:00
278;75;53;183;60;2017-06-17T10:15:00+03:00
306;11;157;76;197;2017-06-17T16:35:00+03:00
29;107;25;35;137;2017-06-18T09:40:00+03:00
352;86;88;179;111;2017-06-20T03:05:00+03:00
298;165;197;7;58;2017-06-10T01:55:00+03:00
295;163;184;131;65;2017-06-11T06:40:00+03:00
337;74;33;49;112;2017-06-11T15:20:00+03:00
329;143;82;8;6;2017-06-12T04:00:00+03:00
309;13;156;113;112;2017-06-12T17:45:00+03:00
284;120;200;133;93;2017-06-13T04:40:00+03:00
28;174;4;17;20;2017-06-13T10:25:00+03:00
316;6;113;87;138;2017-06-13T19:40:00+03:00
256;41;29;156;94;2017-06-03T16:45:00+03:00
24;196;179;131;58;2017-06-04T02:55:00+03:00
242;193;134;102;178;2017-06-04T03:40:00+03:00
227;41;57;188;24;2017-06-07T01:50:00+03:00
239;145;9;92;85;2017-06-07T17:05:00+03:00
252;75;77;24;38;2017-05-31T16:50:00+03:00
239;198;148;21;134;2017-06-04T15:10:00+03:00
264;31;131;97;116;2017-05-31T00:40:00+03:00
335;14;8;166;184;2017-06-19T01:10:00+03:00
336;133;200;189;123;2017-06-19T02:05:00+03:00
322;83;125;0;54;2017-06-19T11:35:00+03:00
698;49;126;143;136;2017-01-21T12:25:00+03:00
153;77;193;192;195;2017-01-11T01:55:00+03:00
173;87;3;165;13;2017-01-12T00:20:00+03:00
195;71;65;77;181;2017-01-14T00:20:00+03:00
145;153;38;145;151;2017-01-07T03:35:00+03:00
135;5;124;12;157;2017-01-07T09:50:00+03:00
131;67;138;78;38;2017-01-07T12:40:00+03:00
765;154;61;195;156;2017-01-23T15:55:00+03:00
822;25;67;163;137;2017-01-23T17:35:00+03:00
167;109;7;111;23;2017-01-15T03:50:00+03:00
138;127;102;155;124;2017-01-16T21:40:00+03:00
230;164;146;15;155;2017-02-15T19:40:00+03:00
211;67;48;16;77;2017-02-14T16:50:00+03:00
234;178;135;32;163;2017-02-15T09:55:00+03:00
29;33;125;89;182;2016-08-10T19:00:00+03:00
309;108;59;142;14;2016-08-18T19:00:00+03:00
251;184;122;92;56;2016-08-23T12:00:00+03:00
252;135;99;49;177;2016-09-17T16:00:00+03:00
232;12;175;119;143;2016-09-27T12:00:00+03:00
246;104;163;82;164;2016-10-10T19:00:00+03:00
227;47;25;122;193;2016-10-19T01:00:00+03:00
212;199;95;35;161;2016-10-22T07:00:00+03:00
206;158;103;80;163;2017-04-16T06:55:00+03:00
2136941910;171;63;163;28;2017-04-18T00:35:00+03:00
19;24;14;93;33;2017-04-18T08:05:00+03:00
188;141;115;172;37;2017-04-18T22:50:00+03:00
186;155;147;16;87;2017-04-20T01:55:00+03:00
169;71;49;41;182;2017-04-20T11:30:00+03:00
219;111;152;38;21;2017-04-21T08:30:00+03:00
219;160;14;13;121;2017-04-22T11:55:00+03:00
248;51;30;144;81;2017-04-23T16:35:00+03:00
261;47;124;104;139;2017-04-23T19:40:00+03:00
262;36;20;191;89;2017-04-23T20:45:00+03:00
204;70;108;104;105;2017-04-24T07:45:00+03:00
221;95;119;70;125;2017-04-11T18:25:00+03:00
236;24;12;171;175;2017-04-12T21:25:00+03:00
225;185;88;14;115;2017-04-13T15:55:00+03:00
182;96;126;135;57;2017-04-26T05:25:00+03:00
181;58;11;100;182;2017-04-26T07:45:00+03:00
183;146;133;114;123;2017-04-28T04:25:00+03:00
257;172;186;90;165;2017-07-21T13:45:00+03:00
2667198563;9;174;108;95;2017-07-22T00:40:00+03:00
261;123;35;20;179;2017-08-16T13:35:00+03:00
274;182;51;111;7;2017-08-16T20:00:00+03:00
2725081825;27;154;126;101;2017-08-17T16:35:00+03:00
225;196;162;2;121;2017-08-20T17:40:00+03:00
225;29;67;168;136;2017-08-22T07:55:00+03:00
224;163;130;124;45;2017-08-22T10:25:00+03:00
